step,observation,raw_adjustments,adjusted,reward,death_count
30,"[0, 0, 0, 182.8508370047573, 142.87047149487813, 148.61547567562417]","[-0.371439761721978, -1.8443011760075565, 2.2157409377295343]","[-0.371439761721978, -1.8443011760075565, 2.2157409377295343]",3.127464,0
31,"[0, 0, 0, 181.02188511666583, 139.56865819250106, 149.3737044869842]","[0.3838182389762186, -5.026400170658415, 4.642581931682196]","[0.3838182389762186, -5.026400170658415, 4.642581931682196]",3.261634,0
32,"[0, 1, 0, 179.99291475666436, 133.12946942286496, 152.6034978196887]","[-1.1888133532997218, 3.3800639142286335, -2.1912505609289115]","[-1.1888133532997218, 3.3800639142286335, -2.1912505609289115]",5.632958,0
33,"[0, 0, 0, 178.46531003521426, 135.32007436020336, 150.0734558906094]","[-1.122521238635298, 1.5931236650310696, -0.47060242639577066]","[-1.122521238635298, 1.5931236650310696, -0.47060242639577066]",3.094744,0
34,"[0, 0, 0, 175.87436998458156, 135.44477921323704, 148.13443465221624]","[-0.7874938741879196, -0.5954375975409787, 1.3829314717288983]","[-0.7874938741879196, -0.5954375975409787, 1.3829314717288983]",2.923327,0
35,"[0, 0, 0, 173.56131828919865, 133.32378379450105, 147.99180830275014]","[0.0013056277533651794, -0.4452519571610525, 0.4439463294076873]","[0.0013056277533651794, -0.4452519571610525, 0.4439463294076873]",3.164733,0
36,"[0, 0, 0, 172.11753491059093, 131.43344283097892, 146.99066562579674]","[-0.3687001045967083, -3.425646721024315, 3.794346825621023]","[-0.3687001045967083, -3.425646721024315, 3.794346825621023]",2.464026,0
37,"[0, 0, 0, 170.07017664204875, 126.32913794600914, 149.1063542874723]","[1.465836880331309, -0.8594833867591423, -0.6063534935721666]","[1.465836880331309, -0.8594833867591423, -0.6063534935721666]",2.752102,0
38,"[0, 0, 0, 169.95338095442, 123.88702199128993, 146.91736822594007]","[-0.619979048991375, 2.079367842054736, -1.459388793063361]","[-0.619979048991375, 2.079367842054736, -1.459388793063361]",2.928962,0
39,"[0, 0, 0, 167.80972252511287, 124.44271045302892, 143.93430005256096]","[2.6117178725279144, -4.2250527464251775, 1.6133348738972633]","[2.6117178725279144, -4.2250527464251775, 1.6133348738972633]",2.847789,0
40,"[0, 0, 0, 168.87070347704474, 118.6669207860077, 143.99689800586216]","[4.847309209322979, -4.239916869130235, -0.6073923401927426]","[4.847309209322979, -4.239916869130235, -0.6073923401927426]",3.274181,0
41,"[0, 0, 0, 172.3094065182127, 113.01839774872246, 141.98089949751443]","[-0.21310858810399275, -0.416610601680611, 0.6297191897846037]","[-0.21310858810399275, -0.416610601680611, 0.6297191897846037]",3.012269,0
42,"[0, 0, 2, 170.60038744627525, 111.10587666320839, 141.11470820346557]","[0.5984591919052291, -1.695633335308483, 1.0971741434032531]","[0.5984591919052291, -1.695633335308483, 1.0971741434032531]",4.051829,0
43,"[0, 0, 0, 170.65442455780155, 108.86582124752098, 139.85255524121726]","[2.901288746787296, -3.400137649978049, 0.4988489031907529]","[2.901288746787296, -3.400137649978049, 0.4988489031907529]",3.319897,0
44,"[0, 0, 0, 172.1623455885605, 104.0723158815146, 138.95803642837967]","[0.9429701309081662, -0.026481000953542944, -0.9164891299546233]","[0.9429701309081662, -0.026481000953542944, -0.9164891299546233]",3.253594,0
45,"[0, 0, 0, 171.68984691428426, 102.63036607537666, 136.62607849324064]","[-2.728672037726291, 2.596624386621172, 0.1320476511051194]","[-2.728672037726291, 2.596624386621172, 0.1320476511051194]",3.437015,0
46,"[0, 0, 0, 167.6068464552378, 103.87266204067765, 135.40379772302558]","[-1.5471048187095051, -1.05845599917708, 2.605560817886585]","[-1.5471048187095051, -1.05845599917708, 2.605560817886585]",3.225605,0
47,"[1, 0, 0, 164.63494317551468, 101.38940758048696, 136.58456007989855]","[-0.9216116690599616, 0.6648744888077501, 0.2567371802522118]","[-0.9216116690599616, 0.6648744888077501, 0.2567371802522118]",6.810373,0
48,"[2, 0, 0, 163.81696771336954, 101.6576506701744, 136.44466586103044]","[1.414672699486076, -2.161136306822314, 0.7464636073362385]","[1.414672699486076, -2.161136306822314, 0.7464636073362385]",5.692086,0
49,"[0, 0, 0, 164.05896457820958, 99.17889505724138, 136.87351016225597]","[2.5790879257110992, -2.0002211818983797, -0.5788667438127193]","[2.5790879257110992, -2.0002211818983797, -0.5788667438127193]",3.406784,0
50,"[0, 0, 0, 165.27364715748178, 95.8142685289041, 134.93023807200433]","[1.650625775945553, -3.0013195002366073, 1.3506937242910544]","[1.650625775945553, -3.0013195002366073, 1.3506937242910544]",3.610516,0
51,"[0, 0, 0, 165.6277782706056, 91.51645436584577, 134.98443713347368]","[-0.9994751333666532, 0.6289869187260808, 0.37048821464057236]","[-0.9994751333666532, 0.6289869187260808, 0.37048821464057236]",3.266946,0
52,"[0, 0, 0, 163.21728508503952, 90.73442323237244, 133.9439072959148]","[-0.4593095532039031, -1.9582118611693655, 2.417521414373269]","[-0.4593095532039031, -1.9582118611693655, 2.417521414373269]",2.870164,0
53,"[0, 0, 0, 161.21469697800993, 87.23293281737739, 134.8181501564624]","[-1.267388820834304, -3.3451748356673146, 4.612563656501619]","[-1.267388820834304, -3.3451748356673146, 4.612563656501619]",2.800290,0
54,"[0, 0, 0, 158.38073810873726, 82.32118793327172, 137.86414376452566]","[-1.4880936464476229, 0.7858268443485532, 0.7022668020990694]","[-1.4880936464476229, 0.7858268443485532, 0.7022668020990694]",3.396921,0
55,"[0, 0, 0, 155.52495160073323, 81.73932191606387, 137.19871770506833]","[-2.2478476596626553, -1.952436061860668, 4.2002837215233235]","[-2.2478476596626553, -1.952436061860668, 4.2002837215233235]",3.029841,0
56,"[0, 0, 0, 151.78705093110943, 78.29683284424208, 139.90894841663052]","[1.6633800346917638, 0.9596612212891413, -2.623041255980905]","[1.6633800346917638, 0.9596612212891413, -2.623041255980905]",3.375864,0
57,"[0, 0, 0, 152.07571896794525, 77.88178206767526, 135.91119516279366]","[2.270563835805431, -3.0634153128271997, 0.7928514770217683]","[2.270563835805431, -3.0634153128271997, 0.7928514770217683]",2.858069,0
58,"[0, 0, 0, 152.79897250399173, 73.27105645508911, 135.15673634005648]","[-1.0066162828046545, 3.4643492217421663, -2.4577329389375113]","[-1.0066162828046545, 3.4643492217421663, -2.4577329389375113]",2.467393,0
59,"[0, 0, 0, 150.11482044250218, 75.05786989814638, 131.02146762243407]","[-2.382325126096048, -1.554980269077234, 3.937305395173282]","[-2.382325126096048, -1.554980269077234, 3.937305395173282]",2.707705,0
60,"[0, 0, 0, 146.13506369593253, 71.90545800859553, 133.36134139713374]","[-1.0423332283339521, 1.7411383984881983, -0.6988051701542463]","[-1.0423332283339521, 1.7411383984881983, -0.6988051701542463]",3.205201,0
61,"[0, 1, 0, 143.6611308570977, 72.21499679658285, 131.23093661647863]","[-1.317688917810864, 1.8774672385286877, -0.5597783207178242]","[-1.317688917810864, 1.8774672385286877, -0.5597783207178242]",5.673932,0
62,"[0, 0, 0, 141.99023776516188, 72.97280390639732, 130.31795412163584]","[3.232626286835111, -1.9479080075762043, -1.2847182792589065]","[3.232626286835111, -1.9479080075762043, -1.2847182792589065]",2.894255,0
63,"[0, 0, 0, 143.68761569565922, 69.48964754248334, 127.49798748603915]","[2.829305317573561, 0.8127980543560344, -3.6421033719295948]","[2.829305317573561, 0.8127980543560344, -3.6421033719295948]",3.356015,0
64,"[0, 0, 0, 145.13559269974127, 68.92111728334787, 122.47455580061805]","[0.5467802813927611, 0.09090909728373406, -0.6376893786764951]","[0.5467802813927611, 0.09090909728373406, -0.6376893786764951]",3.239280,0
65,"[0, 0, 0, 144.26213288053128, 67.59178628002886, 120.41662632133881]","[-0.31880441152439065, 0.33536542655562374, -0.016561015031233042]","[-0.31880441152439065, 0.33536542655562374, -0.016561015031233042]",2.867835,0
66,"[0, 2, 0, 142.39927363407324, 66.38309687165082, 118.8560104713739]","[1.8303157469773499, -3.9147266411570283, 2.0844108941796784]","[1.8303157469773499, -3.9147266411570283, 2.0844108941796784]",5.529385,0
67,"[0, 0, 0, 144.07735623339357, 60.802221820618726, 120.78818821789658]","[-1.1703458292626652, 1.0283285863447138, 0.14201724291795137]","[-1.1703458292626652, 1.0283285863447138, 0.14201724291795137]",2.618059,0
68,"[0, 0, 0, 141.27969668896944, 60.203236691801955, 119.30289174565304]","[-0.5708643702225098, -0.7727145065994296, 1.3435788768219403]","[-0.5708643702225098, -0.7727145065994296, 1.3435788768219403]",2.794843,0
69,"[0, 2, 0, 139.14044666502855, 57.862136531484154, 119.07808496875661]","[-0.36020276021635, -0.10968669632460903, 0.4698894565409595]","[-0.36020276021635, -0.10968669632460903, 0.4698894565409595]",5.564033,0
70,"[0, 0, 0, 138.4467820696291, 56.48340693114134, 119.21451259011448]","[-2.356411735247234, 0.7316459251677598, 1.6247658100794742]","[-2.356411735247234, 0.7316459251677598, 1.6247658100794742]",3.005133,0
71,"[0, 1, 0, 134.59208120777296, 55.716763729700176, 119.34098927358504]","[2.2069060622001264, 4.16787851077476, -6.374784572974886]","[2.2069060622001264, 4.16787851077476, -6.374784572974886]",5.924801,0
72,"[0, 0, 0, 136.58392319032842, 58.7395709517342, 112.75114062096547]","[4.914804316313617, -4.220955457293257, -0.6938488590203609]","[4.914804316313617, -4.220955457293257, -0.6938488590203609]",3.276991,0
73,"[0, 0, 0, 140.09105775385862, 53.11094574165752, 110.64962200916169]","[1.9857374122344567, -1.5800007581442495, -0.40573665409020737]","[1.9857374122344567, -1.5800007581442495, -0.40573665409020737]",3.039091,0
74,"[0, 0, 0, 140.58982544400013, 50.04397526142031, 108.75691563297852]","[3.6578532759049582, -0.6787051581005749, -2.979148117804383]","[3.6578532759049582, -0.6787051581005749, -2.979148117804383]",2.532646,0
75,"[0, 0, 0, 142.5918942030115, 47.70948558642614, 104.12198299828054]","[1.714227202115757, 0.8559366350466919, -2.5701638371624487]","[1.714227202115757, 0.8559366350466919, -2.5701638371624487]",3.505542,0
76,"[0, 0, 0, 142.9746352729376, 47.23393608928319, 100.22033302892845]","[-1.9196123022411395, 3.4993954972874564, -1.5797831950463173]","[-1.9196123022411395, 3.4993954972874564, -1.5797831950463173]",3.061871,0
77,"[0, 0, 0, 139.57564666247964, 49.253955278353814, 97.1611735256653]","[-1.1868561669086597, -0.6042352777092701, 1.7910914446179298]","[-1.1868561669086597, -0.6042352777092701, 1.7910914446179298]",2.989720,0
78,"[0, 0, 0, 136.88536375359166, 47.14629325866522, 97.44883822830391]","[0.3853726296133052, -0.3827015071242963, -0.0026711224890089147]","[0.3853726296133052, -0.3827015071242963, -0.0026711224890089147]",3.165189,0
79,"[1, 0, 0, 135.82579943791126, 45.3186548062472, 96.00123016052119]","[-0.17719337843158134, -1.0430920529128496, 1.220285431344431]","[-0.17719337843158134, -1.0430920529128496, 1.220285431344431]",6.705466,0
80,"[0, 0, 1, 136.0419810424286, 43.681608099512935, 96.6275609380442]","[3.51595667211426, -1.9250027271206471, -1.5909539449936116]","[3.51595667211426, -1.9250027271206471, -1.5909539449936116]",6.176048,0
81,"[2, 0, 0, 139.13282530491134, 41.33149296276075, 94.56288007230866]","[-2.232371784914753, 3.3038318593007947, -1.0714600743860418]","[-2.232371784914753, 3.3038318593007947, -1.0714600743860418]",4.819591,0
82,"[0, 0, 0, 134.9589255517656, 44.26588419694228, 93.12197937280335]","[-1.442049891374037, 3.0743235504323145, -1.6322736590582776]","[-1.442049891374037, 3.0743235504323145, -1.6322736590582776]",2.683536,0
83,"[0, 0, 0, 131.9113877508207, 45.734719837803745, 89.88421780417423]","[1.195073810904168, -2.0023712942025518, 0.8072974832983841]","[1.195073810904168, -2.0023712942025518, 0.8072974832983841]",2.769619,0
84,"[0, 0, 0, 131.5296679819742, 42.15555496385054, 89.11472170772196]","[0.6743889595881027, 6.499923695289715, -7.174312654877817]","[0.6743889595881027, 6.499923695289715, -7.174312654877817]",2.924600,0
85,"[0, 0, 0, 130.67892368657192, 47.130345404149864, 80.41527579785375]","[0.2924916074364058, 1.2514080701174581, -1.5438996775538638]","[0.2924916074364058, 1.2514080701174581, -1.5438996775538638]",3.078577,0
86,"[0, 0, 0, 129.4976076406807, 46.907945820939695, 77.39756846697226]","[0.8120075836687723, 3.421671132208098, -4.233678715876871]","[0.8120075836687723, 3.421671132208098, -4.233678715876871]",2.593243,0
87,"[0, 0, 0, 128.67402956058376, 48.694031289382075, 71.52830408732967]","[4.638176639068805, -2.9928938645528698, -1.6452827745159357]","[4.638176639068805, -2.9928938645528698, -1.6452827745159357]",2.750520,0
88,"[0, 0, 0, 131.72904611287504, 44.11797733805169, 68.29986122603623]","[-0.36780773851505055, -0.34313663412850426, 0.7109443726435547]","[-0.36780773851505055, -0.34313663412850426, 0.7109443726435547]",2.719938,0
89,"[0, 0, 0, 129.7678844876575, 42.181486817220716, 67.41745171197732]","[0.13310117173319358, 1.3238452377448826, -1.456946409478076]","[0.13310117173319358, 1.3238452377448826, -1.456946409478076]",3.284601,0
90,"[0, 0, 0, 128.4958526232305, 42.10019901880537, 64.55537226633902]","[-2.637890026350749, -2.7640005686450104, 5.40189059499576]","[-2.637890026350749, -2.7640005686450104, 5.40189059499576]",3.459325,0
91,"[0, 0, 0, 124.51107105249523, 37.989306905775834, 68.61037131695026]","[0.8733773888417002, 2.3340188337576984, -3.207396222599399]","[0.8733773888417002, 2.3340188337576984, -3.207396222599399]",2.860902,0
92,"[0, 0, 0, 123.83808233744976, 38.776959635646364, 63.8566089904637]","[1.192145669898257, 0.34401306704194523, -1.5361587369402017]","[1.192145669898257, 0.34401306704194523, -1.5361587369402017]",3.054183,0
93,"[2, 0, 0, 123.54828917168038, 37.639033867020665, 60.838511417855855]","[-0.7737972865372458, -1.0153727632466125, 1.7891700497838585]","[-0.7737972865372458, -1.0153727632466125, 1.7891700497838585]",5.565481,0
94,"[0, 0, 0, 121.93920464786288, 36.074045213335985, 62.07806557720165]","[-0.4242075207222965, -1.5359713472199514, 1.9601788679422478]","[-0.4242075207222965, -1.5359713472199514, 1.9601788679422478]",2.552359,0
95,"[0, 0, 0, 119.86578348798847, 32.88886022696391, 62.38903080599177]","[0.19521526464889138, -2.806452614480614, 2.6112373498317227]","[0.19521526464889138, -2.806452614480614, 2.6112373498317227]",2.383688,0
96,"[0, 2, 0, 118.35556139876618, 28.376970258612115, 63.294830801952315]","[-0.7822430762733603, -2.5090748283251, 3.2913179045984613]","[-0.7822430762733603, -2.5090748283251, 3.2913179045984613]",5.498502,0
97,"[0, 0, 0, 116.85659634104795, 25.299841534300555, 65.8694267251059]","[2.461344946496441, -4.534051647052289, 2.0727067005558473]","[2.461344946496441, -4.534051647052289, 2.0727067005558473]",3.109514,0
98,"[0, 0, 0, 117.85444602045905, 19.30229462016292, 66.4786381585764]","[-1.5950186619155784, 2.289991159125666, -0.6949724972100877]","[-1.5950186619155784, 2.289991159125666, -0.6949724972100877]",3.094791,0
99,"[0, 0, 0, 114.79102425999213, 20.12388268073724, 64.31526256281497]","[-0.7212283915436463, 1.9672743524139156, -1.2460459608702692]","[-0.7212283915436463, 1.9672743524139156, -1.2460459608702692]",3.093581,0
100,"[0, 0, 0, 112.60098966096913, 20.622350825671816, 61.60041039446536]","[-1.3557611433128576, 3.5565490495607914, -2.2007879062479327]","[-1.3557611433128576, 3.5565490495607914, -2.2007879062479327]",2.969441,0
101,"[0, 0, 0, 109.7350420194008, 22.668713376977124, 57.88943598996194]","[-2.505216231342941, -3.5925465359017186, 6.097762767244659]","[-2.505216231342941, -3.5925465359017186, 6.097762767244659]",2.588299,0
102,"[0, 0, 0, 105.59259211255913, 17.438933165576678, 62.34996508170787]","[-0.5396894367180272, -2.8660433488274113, 3.405732785545439]","[-0.5396894367180272, -2.8660433488274113, 3.405732785545439]",2.581643,0
103,"[0, 0, 0, 103.41345046969093, 12.933437610599084, 64.11624566110312]","[0.7071959458071979, -4.352269249048874, 3.6450733032416758]","[0.7071959458071979, -4.352269249048874, 3.6450733032416758]",3.367384,0
104,"[0, 0, 0, 102.74310770461662, 7.203629650668699, 66.38378025346329]","[-0.6892580339658743, -0.7279905549342705, 1.4172485889001445]","[-0.6892580339658743, -0.7279905549342705, 1.4172485889001445]",2.871974,0
105,"[0, 0, 0, 100.51117418339543, 4.932963608479103, 66.2583533551081]","[1.1450537108130567, -0.18868124510929485, -0.9563724657037613]","[1.1450537108130567, -0.18868124510929485, -0.9563724657037613]",2.708466,0
106,"[0, 0, 0, 100.05904989428247, 3.147104363443798, 63.70480288947833]","[2.8839645699031764, 0.03206225387311079, -2.9160268237762876]","[2.8839645699031764, 0.03206225387311079, -2.9160268237762876]",3.040010,0
107,"[0, 0, 0, 101.4563511976149, 1.6925033507461549, 59.30211279913129]","[1.013588985327433, -3.0095306954574794, 1.9959417101300465]","[1.013588985327433, -3.0095306954574794, 1.9959417101300465]",5.503472,1
108,"[0, -1, 0, 101.21691096309313, -2.5700565645605193, 60.04502528941214]","[3.8650663599120154, 0.0, -3.8650663599120154]","[3.8650663599120154, 0.0, -3.8650663599120154]",4.414025,0
109,"[0, -1, 0, 104.78898971310393, -2.5700565645605193, 55.886971319598906]","[-0.48262825455400904, 0.0, 0.48262825455400904]","[-0.48262825455400904, 0.0, 0.48262825455400904]",4.822085,0
110,"[0, -1, 1, 104.21740375079149, -2.5700565645605193, 56.28064186639448]","[1.1624235070788238, 0.0, -1.1624235070788238]","[1.1624235070788238, 0.0, -1.1624235070788238]",14.140051,0
111,"[0, -1, 0, 114.70288843256485, -2.5700565645605193, 54.935208651461096]","[1.8557078074204272, 0.0, -1.8557078074204272]","[1.8557078074204272, 0.0, -1.8557078074204272]",3.885692,0
112,"[0, -1, 0, 116.00144232039945, -2.5700565645605193, 52.522346924454844]","[-4.770973511414268, 0.0, 4.770973511414268]","[-4.770973511414268, 0.0, 4.770973511414268]",3.339141,0
113,"[0, -1, 2, 110.40003928248414, -2.5700565645605193, 56.46289090936807]","[-1.1553957756811286, 0.0, 1.1553957756811286]","[-1.1553957756811286, 0.0, 1.1553957756811286]",11.212645,0
114,"[0, -1, 0, 116.11428850044098, -2.5700565645605193, 56.96128631181422]","[-5.785667967444327, 0.0, 5.785667967444327]","[-5.785667967444327, 0.0, 5.785667967444327]",3.866007,0
115,"[0, -1, 0, 109.761624016662, -2.5700565645605193, 62.17995776292389]","[-0.6257311743742766, 0.0, 0.6257311743742767]","[-0.6257311743742766, 0.0, 0.6257311743742767]",3.767409,0
116,"[0, -1, 0, 108.51959745878756, -2.5700565645605193, 62.189393553798]","[-1.7989169013108102, 0.0, 1.7989169013108102]","[-1.7989169013108102, 0.0, 1.7989169013108102]",3.910109,0
117,"[0, -1, 0, 106.17573528061081, -2.5700565645605193, 63.44336517824287]","[-1.033863407811084, 0.0, 1.0338634078110838]","[-1.033863407811084, 0.0, 1.0338634078110838]",3.734795,0
118,"[0, -1, 0, 104.50926914079501, -2.5700565645605193, 63.84462585404924]","[1.6900381219307485, 0.0, -1.6900381219307485]","[1.6900381219307485, 0.0, -1.6900381219307485]",3.847602,0
119,"[0, -1, 0, 105.6231080726275, -2.5700565645605193, 61.57838854202023]","[1.1758868771390358, 0.0, -1.1758868771390358]","[1.1758868771390358, 0.0, -1.1758868771390358]",3.706142,0
120,"[0, -1, 0, 106.1520661069269, -2.5700565645605193, 59.75557282204155]","[2.237087272403689, 0.0, -2.2370872724036897]","[2.237087272403689, 0.0, -2.2370872724036897]",4.735813,0
121,"[0, -1, 0, 108.25706012434854, -2.5700565645605193, 57.38639229465582]","[-2.8330605662793333, 0.0, 2.8330605662793333]","[-2.8330605662793333, 0.0, 2.8330605662793333]",3.161302,0
122,"[0, -1, 0, 104.50465067671172, -2.5700565645605193, 59.30010397957766]","[-0.6390960236754377, 0.0, 0.6390960236754377]","[-0.6390960236754377, 0.0, 0.6390960236754377]",4.850391,0
123,"[0, -1, 0, 103.7907503618049, -2.5700565645605193, 59.86439571202171]","[-2.8293284930353426, 0.0, 2.8293284930353426]","[-2.8293284930353426, 0.0, 2.8293284930353426]",4.781160,0
124,"[0, -1, 0, 100.85200168467922, -2.5700565645605193, 62.58430402096673]","[-0.8751220054827911, 0.0, 0.8751220054827911]","[-0.8751220054827911, 0.0, 0.8751220054827911]",3.496074,0
125,"[0, -1, 0, 99.22491679741941, -2.5700565645605193, 62.707463144672495]","[4.169502339157457, 0.0, -4.169502339157457]","[4.169502339157457, 0.0, -4.169502339157457]",4.364598,0
126,"[0, -1, 0, 103.07671812279327, -2.5700565645605193, 58.220259791731436]","[0.37880259288130436, 0.0, -0.3788025928813046]","[0.37880259288130436, 0.0, -0.3788025928813046]",3.768483,0
127,"[0, -1, 0, 102.83976223915585, -2.5700565645605193, 57.2256987223314]","[-1.1256906618428992, 0.0, 1.1256906618428992]","[-1.1256906618428992, 0.0, 1.1256906618428992]",4.209486,0
128,"[0, -1, 0, 101.31881452770595, -2.5700565645605193, 57.956132334567315]","[-2.2075934958759387, 0.0, 2.2075934958759387]","[-2.2075934958759387, 0.0, 2.2075934958759387]",4.682458,0
129,"[0, -1, 0, 98.95244997797296, -2.5700565645605193, 60.00495477658619]","[2.2205342327767603, 0.0, -2.2205342327767603]","[2.2205342327767603, 0.0, -2.2205342327767603]",4.619312,0
130,"[0, -1, 0, 100.98264041017512, -2.5700565645605193, 57.59407674323484]","[1.3240939926325606, 0.0, -1.3240939926325606]","[1.3240939926325606, 0.0, -1.3240939926325606]",4.931620,0
