agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29
11,1,8,2,14,7,2,4,21,24,5,18,3,12,5,26,13,2,10,17,23,0,6,9,4,15,0,20,1,7
11,16,8,2,14,12,9,4,21,24,3,18,3,12,5,26,13,2,10,17,23,12,6,9,4,15,0,20,22,7
11,16,8,2,14,12,2,10,28,24,3,18,13,12,5,26,13,1,10,17,23,14,6,9,21,15,0,20,1,7
11,16,8,21,8,7,9,4,21,24,3,18,3,1,5,26,5,2,10,3,23,12,6,9,4,15,0,20,1,7
11,16,8,2,14,7,4,4,21,24,29,18,3,1,5,26,13,2,10,17,23,7,6,9,4,15,0,20,0,7
11,16,8,2,14,12,2,4,28,24,3,18,3,21,5,26,13,2,10,17,23,8,6,9,4,15,0,20,0,7
11,16,8,2,14,12,9,4,21,24,5,18,3,1,5,12,13,2,10,17,23,12,6,9,4,15,0,20,1,7
11,16,8,21,14,12,2,4,3,24,3,18,3,1,5,26,13,2,10,17,23,12,6,9,4,15,0,20,1,7
11,16,8,2,14,7,2,10,21,24,21,18,3,1,5,26,13,2,10,23,23,12,0,9,4,15,0,20,1,7
11,16,8,2,14,7,9,10,21,24,27,18,3,1,5,26,29,2,10,17,14,12,6,9,4,15,0,20,1,7
27,16,8,2,14,24,2,12,21,24,3,18,3,1,5,26,13,2,10,17,23,12,6,9,4,18,0,20,1,7
11,16,8,21,14,24,9,16,24,24,3,18,3,1,5,5,17,2,10,17,2,15,6,9,4,15,0,20,0,7
11,16,8,2,14,7,2,4,21,24,3,18,3,1,5,5,13,2,10,17,23,12,6,9,4,15,0,20,8,7
11,16,8,2,14,7,2,4,21,24,3,18,3,1,5,26,13,2,10,17,12,12,6,9,4,15,0,20,8,7
11,16,8,14,14,24,9,10,21,24,5,18,3,1,5,26,13,2,10,17,14,12,6,9,4,15,0,20,8,7
11,16,8,14,14,24,3,6,21,24,3,18,3,1,21,15,13,2,10,17,14,12,6,9,4,15,0,20,16,7
11,16,8,14,14,24,2,6,21,24,3,18,3,1,16,15,9,2,10,28,23,12,6,9,4,15,0,27,8,7
23,21,8,14,14,24,2,6,21,24,17,28,3,1,5,26,13,2,10,17,23,12,6,9,4,15,0,20,8,7
11,16,8,14,14,7,9,6,21,24,3,1,4,1,5,26,13,2,0,17,23,12,6,9,4,15,0,20,8,7
2,16,8,14,14,7,2,6,21,26,3,1,3,1,5,26,13,8,10,17,23,12,6,9,4,12,0,20,8,7
11,16,8,14,14,7,2,6,21,27,3,1,3,1,5,26,13,2,10,17,23,12,6,9,4,15,0,20,14,7
11,16,8,2,14,7,9,6,21,24,4,1,5,1,1,15,13,2,10,17,23,12,16,9,4,15,0,20,8,7
11,16,8,2,14,12,2,6,21,20,4,18,5,1,5,26,13,2,10,17,23,12,26,9,4,25,11,20,8,7
11,16,8,2,14,12,9,4,21,24,3,18,5,1,5,26,13,2,10,17,23,12,6,9,4,15,11,20,8,7
29,16,8,2,14,1,24,6,21,23,20,18,3,1,5,26,13,2,10,17,23,12,6,9,4,13,11,20,8,7
11,16,8,2,14,1,2,4,15,23,20,18,3,1,5,16,13,2,10,24,23,12,6,9,4,20,11,20,14,7
