agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29
5,13,22,29,23,4,9,20,8,7,12,4,16,20,1,3,6,1,26,12,10,3,14,2,7,15,9,18,1,23
5,28,26,29,24,5,9,5,7,8,12,4,16,11,10,11,6,1,2,12,10,3,14,2,7,15,9,18,1,23
5,13,26,29,24,20,9,19,8,8,12,4,16,8,10,3,6,1,2,12,10,3,14,2,7,15,28,18,1,23
5,13,26,29,24,4,9,6,8,8,12,4,16,28,10,11,6,1,2,12,10,8,14,2,4,11,13,18,1,23
5,13,26,3,24,20,9,14,8,25,12,4,16,28,21,3,24,1,26,25,1,3,14,2,7,15,9,18,1,23
9,13,26,3,24,20,9,14,8,8,22,4,16,11,10,11,6,1,2,25,10,3,14,2,11,9,9,12,1,23
5,13,26,3,24,20,9,14,8,16,12,4,16,28,21,11,6,1,2,12,10,3,14,2,9,15,9,21,1,11
5,0,26,3,24,20,9,29,15,16,12,4,16,23,21,11,6,28,2,12,10,3,14,2,7,17,9,21,14,23
5,0,26,29,24,20,9,14,15,16,12,26,16,23,10,3,6,28,2,12,18,3,14,2,0,15,9,18,1,4
5,0,26,29,24,20,9,6,15,16,12,4,16,23,10,11,6,7,2,12,10,3,14,2,0,15,9,18,1,4
5,0,23,29,24,20,9,0,15,16,12,4,16,11,21,11,6,7,2,7,10,3,14,2,0,15,9,18,1,4
7,0,23,29,24,20,27,6,15,16,27,9,8,11,21,11,6,7,2,7,10,3,14,2,0,15,4,18,1,4
5,0,25,3,24,20,17,6,15,16,21,4,8,11,21,6,6,7,2,7,10,3,14,2,0,15,9,18,1,23
5,0,23,3,24,20,17,14,15,17,12,4,8,20,21,11,6,7,2,7,12,3,14,2,0,15,9,18,1,4
5,18,23,3,24,1,23,14,15,3,12,4,8,20,21,3,11,1,2,7,10,3,14,2,15,15,9,18,1,23
5,0,23,3,24,1,17,14,15,11,12,4,26,20,21,11,6,1,2,28,10,3,14,2,0,15,9,18,1,23
5,0,23,3,24,1,17,6,8,17,12,4,8,20,21,11,6,1,12,16,10,3,14,2,0,15,9,18,1,11
5,0,23,0,24,20,17,4,8,17,12,29,8,20,21,11,6,1,2,11,10,4,14,2,0,15,9,18,1,23
5,0,23,3,24,20,17,14,8,11,12,4,8,20,27,11,6,1,2,16,10,3,14,2,7,15,9,18,1,8
5,0,23,0,24,20,17,6,8,16,12,4,8,20,27,3,21,1,2,9,10,3,14,2,7,15,9,18,1,4
5,0,23,9,24,20,17,25,8,16,12,4,8,20,27,11,21,1,2,9,10,3,14,2,28,15,9,18,1,23
5,13,23,9,24,20,11,25,5,16,12,4,8,20,27,14,6,1,2,16,10,3,14,2,7,15,4,18,1,11
7,13,23,0,24,20,17,25,5,16,12,4,8,20,21,9,6,11,2,16,10,3,18,2,7,15,9,18,1,23
5,17,26,0,24,7,17,25,5,16,12,4,8,20,21,11,26,1,2,16,10,3,14,2,7,15,9,18,1,4
5,13,26,0,2,7,17,25,5,1,12,19,8,20,21,11,6,1,2,9,10,3,14,2,7,17,9,18,1,23
5,13,19,0,24,27,17,20,5,16,12,4,8,20,21,12,6,1,2,16,10,3,14,2,7,17,9,18,1,23
25,13,19,0,24,27,17,5,5,17,12,4,11,20,17,11,6,7,2,7,10,25,14,2,23,15,9,18,1,23
5,13,19,0,24,20,17,5,5,16,12,4,8,11,21,11,6,1,2,16,5,3,14,22,7,15,9,18,1,11
5,13,19,0,4,20,17,6,4,16,12,4,8,20,21,3,6,1,2,8,10,3,19,2,0,17,9,18,1,4
5,29,19,0,17,20,17,6,5,16,12,4,8,11,21,3,6,1,11,8,10,3,14,2,0,15,4,18,1,25
5,13,19,0,13,20,17,6,24,17,12,4,8,20,21,3,6,28,2,8,10,3,14,2,0,14,9,18,22,23
5,13,19,0,13,4,17,6,5,29,12,4,8,11,21,11,6,1,13,8,10,3,14,19,0,15,9,18,1,23
4,13,19,0,24,7,9,6,5,16,12,4,14,18,21,6,6,1,13,8,10,3,14,2,7,17,9,18,1,11
5,13,19,0,24,7,9,17,5,16,12,20,6,18,21,11,6,1,2,8,8,3,14,2,7,15,9,18,1,4
5,13,19,18,24,20,20,6,5,16,12,4,8,18,21,11,6,1,2,9,10,3,14,2,0,15,9,18,16,20
5,13,19,0,24,1,9,14,5,16,12,4,8,18,21,3,6,1,13,7,10,3,3,2,0,15,9,18,1,23
